aX,aY,aZ,gX,gY,gZ
0.040,0.209,0.209,-0.212,-0.643,-0.102
0.419,0.449,0.449,-0.244,-0.703,-0.085
0.035,0.145,0.145,-0.309,-0.783,-0.033

0.623,-0.993,-0.993,-0.279,0.056,0.097
0.672,-0.983,-0.983,-0.248,0.048,0.082
0.658,-1.006,-1.006,-0.216,0.045,0.081
0.664,-1.000,-1.000,-0.186,0.030,0.071
0.683,-0.998,-0.998,-0.164,0.007,0.056
0.595,-1.002,-1.002,-0.140,-0.017,0.045
0.583,-1.001,-1.001,-0.121,-0.034,0.033
0.571,-0.868,-0.868,-0.096,-0.042,0.020
0.602,-0.790,-0.790,-0.076,-0.040,0.018
0.604,-0.741,-0.741,-0.069,-0.030,0.007
0.606,-0.613,-0.613,-0.056,-0.014,0.012
0.655,-0.582,-0.582,-0.044,0.006,0.020
0.600,-0.552,-0.552,-0.045,0.019,0.024
0.588,-0.541,-0.541,-0.046,0.032,0.017
0.599,-0.479,-0.479,-0.034,0.052,0.021
0.592,-0.469,-0.469,-0.037,0.056,0.026
0.618,-0.525,-0.525,-0.038,0.064,0.018
0.662,-0.458,-0.458,-0.029,0.074,0.022
0.630,-0.398,-0.398,-0.018,0.090,0.031
0.594,-0.394,-0.394,0.001,0.101,0.034
0.577,-0.363,-0.363,0.012,0.109,0.032
0.570,-0.337,-0.337,0.022,0.119,0.036
0.606,-0.335,-0.335,0.031,0.123,0.040
0.626,-0.281,-0.281,0.028,0.126,0.043
0.576,-0.233,-0.233,0.027,0.126,0.043
0.640,-0.229,-0.229,0.026,0.118,0.047
0.651,-0.215,-0.215,0.020,0.113,0.051
0.623,-0.220,-0.220,0.013,0.106,0.061
0.569,-0.314,-0.314,0.002,0.092,0.060
0.543,-0.308,-0.308,-0.009,0.086,0.063
0.556,-0.311,-0.311,-0.018,0.082,0.069
0.521,-0.385,-0.385,-0.030,0.076,0.062
0.469,-0.461,-0.461,-0.028,0.069,0.062
0.403,-0.480,-0.480,-0.029,0.065,0.059
0.400,-0.480,-0.480,-0.039,0.056,0.046
0.443,-0.442,-0.442,-0.046,0.046,0.031
0.425,-0.405,-0.405,-0.045,0.044,0.029
0.388,-0.397,-0.397,-0.042,0.037,0.026
0.367,-0.375,-0.375,-0.036,0.030,0.017
0.392,-0.368,-0.368,-0.028,0.016,0.010
0.370,-0.356,-0.356,-0.022,0.004,0.006
0.353,-0.344,-0.344,-0.016,-0.010,0.000
0.388,-0.299,-0.299,-0.014,-0.018,-0.007
0.404,-0.275,-0.275,-0.013,-0.026,-0.009
0.387,-0.246,-0.246,-0.010,-0.031,-0.011
0.379,-0.245,-0.245,-0.001,-0.037,-0.015
0.371,-0.151,-0.151,0.005,-0.039,-0.018
0.392,-0.078,-0.078,0.011,-0.042,-0.022
0.445,-0.058,-0.058,0.012,-0.044,-0.024
0.446,-0.000,-0.000,0.006,-0.047,-0.022
0.470,0.094,0.094,-0.002,-0.048,-0.018
0.456,0.143,0.143,-0.009,-0.047,-0.006
0.437,0.159,0.159,-0.013,-0.044,0.004
0.410,0.151,0.151,-0.013,-0.040,0.016
0.383,0.148,0.148,-0.012,-0.035,0.027
0.398,0.075,0.075,-0.015,-0.028,0.032
0.386,0.003,0.003,-0.024,-0.028,0.037
0.326,-0.034,-0.034,-0.032,-0.026,0.038
0.254,-0.034,-0.034,-0.039,-0.028,0.034
0.244,-0.066,-0.066,-0.047,-0.024,0.035
0.263,-0.149,-0.149,-0.051,-0.017,0.032
0.262,-0.174,-0.174,-0.054,-0.012,0.029
0.206,-0.175,-0.175,-0.060,-0.011,0.026
0.211,-0.181,-0.181,-0.065,-0.010,0.021
0.235,-0.173,-0.173,-0.070,-0.010,0.018
0.277,-0.127,-0.127,-0.074,-0.009,0.018
0.295,-0.106,-0.106,-0.076,-0.012,0.019
0.256,-0.076,-0.076,-0.077,-0.013,0.019
0.279,-0.065,-0.065,-0.077,-0.014,0.022
0.250,-0.054,-0.054,-0.074,-0.012,0.028
0.292,-0.020,-0.020,-0.071,-0.006,0.036
0.282,0.036,0.036,-0.061,-0.003,0.049
0.173,0.008,0.008,-0.053,0.002,0.062
0.127,-0.218,-0.218,-0.092,0.009,0.067
0.101,-0.289,-0.289,-0.099,0.015,0.062
0.104,-0.278,-0.278,-0.090,0.020,0.048
