aX,aY,aZ,gX,gY,gZ
0.773,-0.246,-0.246,-0.158,0.180,-0.587
0.762,-0.171,-0.171,-0.177,0.160,-0.614
0.742,-0.097,-0.097,-0.211,0.139,-0.646
0.746,-0.142,-0.142,-0.246,0.119,-0.670
0.834,-0.233,-0.233,-0.288,0.113,-0.693
0.756,-0.257,-0.257,-0.309,0.103,-0.705
0.680,-0.228,-0.228,-0.304,0.080,-0.725
0.587,-0.026,-0.026,-0.316,0.094,-0.750
0.425,0.049,0.049,-0.297,0.088,-0.747
0.388,0.142,0.142,-0.288,0.088,-0.759
0.474,0.266,0.266,-0.281,0.105,-0.766
0.474,0.378,0.378,-0.305,0.149,-0.786
0.488,0.441,0.441,-0.326,0.153,-0.786
0.586,0.362,0.362,-0.342,0.153,-0.773
0.734,0.322,0.322,-0.348,0.178,-0.762
0.837,0.160,0.160,-0.332,0.202,-0.751
0.792,0.044,0.044,-0.292,0.236,-0.757
0.879,-0.074,-0.074,-0.231,0.232,-0.777
0.796,0.069,0.069,-0.204,0.263,-0.830
0.926,0.119,0.119,-0.131,0.245,-0.832
0.856,0.210,0.210,-0.081,0.327,-0.851
0.890,0.234,0.234,0.022,0.314,-0.827
.877,0.323,0.323,0.062,0.379,-0.829
0.794,0.354,0.354,0.146,0.417,-0.819
0.646,0.469,0.469,0.236,0.412,-0.822
0.751,0.516,0.516,0.305,0.372,-0.794
0.731,0.595,0.595,0.315,0.432,-0.779
0.698,0.555,0.555,0.345,0.396,-0.762
0.740,0.511,0.511,0.322,0.372,-0.764
0.960,0.449,0.449,0.242,0.380,-0.788
0.913,0.407,0.407,0.162,0.403,-0.813
0.908,0.409,0.409,0.127,0.394,-0.828
1.017,0.424,0.424,0.081,0.396,-0.840
0.954,0.444,0.444,0.036,0.450,-0.858
0.978,0.383,0.383,0.035,0.445,-0.861
1.061,0.366,0.366,0.007,0.459,-0.895
1.096,0.387,0.387,-0.032,0.493,-0.926
1.051,0.468,0.468,-0.037,0.506,-0.945
0.964,0.623,0.623,-0.024,0.502,-0.962
1.015,0.672,0.672,-0.018,0.499,-0.971
1.047,0.668,0.668,-0.024,0.497,-0.983
0.979,0.744,0.744,-0.066,0.548,-1.010
0.851,0.757,0.757,-0.090,0.578,-1.028
0.862,0.850,0.850,-0.095,0.559,-1.066
1.075,0.875,0.875,-0.098,0.548,-1.039
1.035,1.022,1.022,-0.105,0.528,-1.022
1.178,1.048,1.048,-0.110,0.513,-0.997
1.225,0.990,0.990,-0.116,0.523,-0.992
1.449,0.895,0.895,-0.122,0.518,-1.022
1.608,0.708,0.708,-0.102,0.498,-1.075
1.149,0.698,0.698,0.063,0.332,-1.154
1.346,0.933,0.933,0.112,0.401,-1.140
1.629,0.896,0.896,0.070,0.446,-1.145
1.737,1.009,1.009,0.007,0.447,-1.176
1.379,0.942,0.942,0.019,0.319,-1.271
1.506,1.163,1.163,0.014,0.428,-1.195
1.884,0.787,0.787,0.002,0.457,-1.219
1.452,0.936,0.936,0.000,0.377,-1.374
1.339,1.100,1.100,-0.043,0.525,-1.327
1.744,0.834,0.834,-0.090,0.615,-1.351
1.465,0.911,0.911,-0.076,0.545,-1.440
1.215,1.081,1.081,-0.029,0.550,-1.460
1.529,1.233,1.233,-0.038,0.579,-1.448
1.390,1.363,1.363,-0.031,0.545,-1.407
1.761,1.434,1.434,-0.095,0.645,-1.320
1.839,1.246,1.246,-0.049,0.576,-1.316
1.553,1.639,1.639,-0.030,0.568,-1.232
1.644,1.667,1.667,-0.055,0.689,-1.128
1.724,1.507,1.507,-0.051,0.747,-1.061
1.905,1.871,1.871,-0.206,0.677,-1.071
1.895,1.191,1.191,-0.162,0.523,-1.092
2.242,1.866,1.866,-0.061,0.706,-1.017
2.287,1.284,1.284,0.078,0.695,-0.998
1.302,1.719,1.719,0.177,0.684,-0.957
1.975,1.661,1.661,0.205,0.749,-0.858
1.819,1.426,1.426,0.249,0.760,-0.819
1.641,1.562,1.562,0.233,0.716,-0.809
1.801,1.596,1.596,0.237,0.666,-0.794
1.901,1.705,1.705,0.267,0.637,-0.736
2.379,1.347,1.347,0.351,0.538,-0.687
1.872,1.461,1.461,0.415,0.487,-0.692

0.510,0.924,0.924,-0.049,0.395,-0.812
0.646,1.014,1.014,-0.051,0.379,-0.797
0.722,0.942,0.942,-0.086,0.422,-0.770
0.604,0.965,0.965,-0.082,0.411,-0.790
0.784,1.044,1.044,-0.087,0.420,-0.799
0.834,0.920,0.920,-0.130,0.517,-0.814
0.855,0.930,0.930,-0.110,0.499,-0.805
0.880,0.879,0.879,-0.077,0.466,-0.798
0.980,0.866,0.866,-0.059,0.447,-0.808
1.172,0.801,0.801,-0.021,0.446,-0.800
1.209,0.710,0.710,0.000,0.483,-0.791
1.251,0.706,0.706,0.054,0.481,-0.801
1.367,0.729,0.729,0.076,0.502,-0.825
1.349,0.714,0.714,0.079,0.530,-0.826
1.467,0.756,0.756,0.098,0.511,-0.816
1.480,0.615,0.615,0.081,0.561,-0.816
1.357,0.687,0.687,0.076,0.580,-0.851
1.217,0.720,0.720,0.097,0.564,-0.871
1.188,0.767,0.767,0.110,0.528,-0.908
1.159,0.822,0.822,0.119,0.486,-0.922
1.272,0.838,0.838,0.095,0.484,-0.932
1.139,0.732,0.732,0.109,0.485,-0.952
1.074,0.891,0.891,0.146,0.447,-0.975
1.353,0.991,0.991,0.172,0.437,-0.966
1.546,0.961,0.961,0.127,0.503,-0.962
1.360,0.942,0.942,0.125,0.516,-0.979
1.469,1.125,1.125,0.139,0.495,-1.004
1.477,1.084,1.084,0.189,0.481,-0.972
1.514,1.306,1.306,0.245,0.440,-0.964
1.633,1.397,1.397,0.241,0.474,-0.947
1.568,1.407,1.407,0.218,0.562,-0.918
1.471,1.416,1.416,0.252,0.566,-0.888
1.479,1.435,1.435,0.260,0.554,-0.873
1.417,1.453,1.453,0.245,0.525,-0.875
1.510,1.401,1.401,0.225,0.479,-0.885
1.574,1.316,1.316,0.205,0.458,-0.880
1.608,1.210,1.210,0.218,0.431,-0.851
1.642,1.116,1.116,0.241,0.408,-0.824
1.726,1.126,1.126,0.244,0.394,-0.802
1.710,1.010,1.010,0.211,0.445,-0.781
1.653,0.957,0.957,0.198,0.420,-0.788
1.760,0.966,0.966,0.156,0.429,-0.791
1.777,0.885,0.885,0.104,0.454,-0.801
1.816,0.797,0.797,0.049,0.497,-0.811
1.630,0.622,0.622,0.068,0.467,-0.825
1.818,0.868,0.868,0.059,0.450,-0.876
1.552,0.770,0.770,0.070,0.433,-0.890
1.506,0.980,0.980,0.085,0.368,-0.928
1.711,1.101,1.101,0.035,0.384,-0.925
1.738,1.145,1.145,-0.001,0.420,-0.891
1.797,1.052,1.052,-0.070,0.503,-0.861
1.395,0.716,0.716,-0.110,0.580,-0.877
1.358,0.946,0.946,-0.068,0.486,-0.983
1.668,1.007,1.007,-0.070,0.477,-0.992
1.672,0.935,0.935,-0.055,0.463,-0.970
1.738,1.090,1.090,-0.065,0.511,-0.939
1.740,1.031,1.031,-0.073,0.571,-0.906
1.602,0.935,0.935,-0.034,0.595,-0.869
1.655,0.851,0.851,0.001,0.590,-0.861
1.833,0.899,0.899,-0.011,0.598,-0.885
1.848,0.783,0.783,-0.031,0.639,-0.877
1.787,0.791,0.791,-0.015,0.640,-0.878
1.808,0.836,0.836,-0.023,0.663,-0.880
1.579,0.749,0.749,-0.015,0.662,-0.895
1.585,0.903,0.903,-0.010,0.639,-0.940
1.638,0.931,0.931,-0.034,0.629,-0.956
1.587,0.955,0.955,-0.047,0.613,-0.970
1.606,1.053,1.053,-0.073,0.604,-0.980
1.696,1.051,1.051,-0.093,0.610,-0.970
1.695,1.030,1.030,-0.097,0.607,-0.972
1.680,1.127,1.127,-0.093,0.607,-0.972
1.618,1.226,1.226,-0.076,0.598,-0.964
1.581,1.296,1.296,-0.069,0.600,-0.952
1.634,1.439,1.439,-0.056,0.591,-0.938
1.648,1.522,1.522,-0.047,0.567,-0.919
1.634,1.558,1.558,-0.039,0.553,-0.902
1.644,1.550,1.550,0.000,0.538,-0.872
1.705,1.711,1.711,0.043,0.536,-0.861
1.769,1.715,1.715,0.069,0.577,-0.816
1.818,1.605,1.605,0.132,0.575,-0.742
1.829,1.564,1.564,0.158,0.577,-0.696
1.816,1.467,1.467,0.176,0.575,-0.659
1.864,1.433,1.433,0.192,0.567,-0.608
1.831,1.254,1.254,0.238,0.546,-0.584
1.846,1.205,1.205,0.246,0.549,-0.601
1.950,1.116,1.116,0.246,0.567,-0.597
1.977,0.953,0.953,0.256,0.573,-0.600
2.069,0.891,0.891,0.270,0.544,-0.601
2.027,0.934,0.934,0.281,0.533,-0.589
1.973,0.986,0.986,0.292,0.524,-0.552
2.140,1.093,1.093,0.294,0.521,-0.504
1.454,0.762,0.762,0.282,0.477,-0.536
2.223,1.004,1.004,0.225,0.520,-0.436
1.756,0.736,0.736,0.183,0.543,-0.476
1.702,0.791,0.791,0.209,0.414,-0.465
1.987,0.912,0.912,0.210,0.286,-0.413
2.036,0.720,0.720,0.167,0.387,-0.282
1.817,0.597,0.597,0.171,0.426,-0.258
1.739,0.581,0.581,0.204,0.375,-0.247
1.817,0.635,0.635,0.170,0.341,-0.268
1.771,0.519,0.519,0.109,0.380,-0.282
1.768,0.555,0.555,0.084,0.365,-0.333
1.836,0.572,0.572,0.063,0.397,-0.363
1.861,0.509,0.509,0.057,0.449,-0.327
1.786,0.584,0.584,0.081,0.470,-0.301
1.637,0.483,0.483,0.109,0.458,-0.284
1.727,0.727,0.727,0.098,0.480,-0.292
1.641,0.562,0.562,0.128,0.504,-0.242
1.800,0.912,0.912,0.160,0.523,-0.263
1.506,0.434,0.434,0.227,0.534,-0.209
1.593,0.871,0.871,0.226,0.540,-0.256
1.590,0.825,0.825,0.255,0.537,-0.212
1.516,0.912,0.912,0.282,0.527,-0.169
1.570,0.992,0.992,0.310,0.510,-0.140
1.590,0.902,0.902,0.316,0.544,-0.085
1.530,0.772,0.772,0.338,0.550,-0.055
1.509,0.728,0.728,0.336,0.560,-0.054
1.488,0.549,0.549,0.329,0.559,-0.028
1.491,0.426,0.426,0.301,0.561,-0.018

1.646,-0.630,-0.630,0.087,0.022,0.050
1.787,-0.613,-0.613,0.106,0.028,0.044
1.939,-0.559,-0.559,0.122,0.035,0.026
2.069,-0.529,-0.529,0.134,0.037,0.012
2.333,-0.532,-0.532,0.145,0.037,0.002
2.450,-0.489,-0.489,0.137,0.033,-0.010
2.580,-0.385,-0.385,0.114,0.032,-0.019
2.688,-0.260,-0.260,0.098,0.016,-0.026
2.747,-0.152,-0.152,0.077,-0.007,-0.037
2.968,-0.078,-0.078,0.055,-0.045,-0.044
3.120,-0.067,-0.067,0.037,-0.067,-0.036
3.194,-0.000,-0.000,0.033,-0.086,-0.029
3.299,0.056,0.056,0.026,-0.112,-0.022
3.411,0.149,0.149,0.015,-0.144,-0.018
3.526,0.244,0.244,0.011,-0.177,-0.004
3.587,0.300,0.300,-0.004,-0.210,0.023
3.614,0.243,0.243,-0.016,-0.276,0.057
3.720,0.271,0.271,-0.020,-0.347,0.070
3.805,0.172,0.172,-0.076,-0.344,0.083
3.935,0.159,0.159,-0.032,-0.457,0.122
3.772,0.015,0.015,-0.055,-0.458,0.160
3.809,0.104,0.104,0.016,-0.609,0.155
3.921,0.177,0.177,0.011,-0.658,0.154
3.861,0.140,0.140,0.046,-0.717,0.199
3.685,0.194,0.194,0.069,-0.777,0.203
3.527,0.396,0.396,0.114,-0.881,0.217
3.466,0.445,0.445,0.148,-0.940,0.270
3.228,0.586,0.586,0.164,-0.992,0.296
3.093,0.823,0.823,0.165,-1.041,0.318
2.914,0.966,0.966,0.173,-1.063,0.362
2.574,1.200,1.200,0.193,-1.071,0.411
2.443,1.392,1.392,0.238,-1.124,0.458
2.262,1.524,1.524,0.255,-1.141,0.506
2.175,1.606,1.606,0.258,-1.136,0.544
1.958,1.560,1.560,0.260,-1.160,0.580
1.722,1.627,1.627,0.214,-1.131,0.634
1.518,1.660,1.660,0.170,-1.113,0.645
1.375,1.636,1.636,0.110,-1.115,0.710
1.090,1.515,1.515,0.053,-1.182,0.777
1.016,1.573,1.573,-0.021,-1.228,0.802
0.930,1.425,1.425,-0.130,-1.272,0.861
0.724,1.307,1.307,-0.188,-1.326,0.927
0.705,1.384,1.384,-0.245,-1.323,0.979
0.517,1.272,1.272,-0.304,-1.298,1.051
0.211,1.246,1.246,-0.352,-1.302,1.103
0.127,1.287,1.287,-0.398,-1.312,1.131
-0.077,1.308,1.308,-0.462,-1.340,1.159
-0.287,1.301,1.301,-0.499,-1.366,1.198
-0.366,1.289,1.289,-0.506,-1.398,1.231
-0.499,1.315,1.315,-0.506,-1.464,1.265
-0.682,1.326,1.326,-0.498,-1.484,1.296
-0.832,1.248,1.248,-0.468,-1.528,1.311
-0.891,1.256,1.256,-0.421,-1.555,1.327
-0.920,1.329,1.329,-0.369,-1.598,1.368
-1.066,1.223,1.223,-0.336,-1.583,1.388
-1.157,1.217,1.217,-0.262,-1.628,1.399
-1.218,1.052,1.052,-0.225,-1.643,1.412
-1.264,0.937,0.937,-0.192,-1.684,1.403
-1.342,0.820,0.820,-0.178,-1.710,1.394
-1.404,0.710,0.710,-0.144,-1.763,1.382
-1.456,0.630,0.630,-0.105,-1.794,1.378
-1.526,0.627,0.627,-0.071,-1.805,1.357
-1.626,0.595,0.595,-0.017,-1.812,1.336
-1.739,0.644,0.644,0.039,-1.804,1.316
-1.850,0.772,0.772,0.093,-1.795,1.300
-1.926,0.987,0.987,0.154,-1.777,1.293
-2.051,1.131,1.131,0.190,-1.755,1.291
-2.114,1.371,1.371,0.192,-1.740,1.290
-2.175,1.546,1.546,0.127,-1.703,1.293
-2.366,1.726,1.726,0.045,-1.688,1.294
-2.379,1.809,1.809,-0.001,-1.673,1.308
-2.412,1.843,1.843,-0.092,-1.607,1.328
-2.579,1.792,1.792,-0.123,-1.597,1.355
-2.612,1.925,1.925,-0.154,-1.591,1.356
-2.654,2.009,2.009,-0.212,-1.518,1.371
-2.878,2.114,2.114,-0.265,-1.444,1.390
-2.937,2.109,2.109,-0.296,-1.403,1.420
-2.944,2.072,2.072,-0.354,-1.327,1.453
-3.195,1.969,1.969,-0.412,-1.252,1.482
-3.347,1.860,1.860,-0.448,-1.178,1.497
-3.407,1.794,1.794,-0.451,-1.153,1.510
-3.418,1.669,1.669,-0.441,-1.088,1.546
-3.575,1.467,1.467,-0.424,-1.020,1.586
-3.523,1.353,1.353,-0.405,-0.994,1.598
-3.602,1.007,1.007,-0.379,-0.950,1.619
-3.657,0.743,0.743,-0.348,-0.918,1.620
-3.706,0.512,0.512,-0.298,-0.925,1.614
-3.697,0.300,0.300,-0.214,-0.943,1.600
-3.797,0.271,0.271,-0.134,-0.937,1.593
-3.909,0.317,0.317,-0.081,-0.929,1.584
-3.976,0.348,0.348,-0.019,-0.898,1.594
-4.197,0.247,0.247,0.050,-0.881,1.603
-4.334,0.383,0.383,0.104,-0.890,1.597
-4.505,0.605,0.605,0.158,-0.855,1.601
-4.842,0.823,0.823,0.202,-0.812,1.628
-5.036,0.943,0.943,0.209,-0.774,1.650
-5.217,0.966,0.966,0.181,-0.756,1.695
-5.333,0.787,0.787,0.101,-0.714,1.758
-5.372,0.631,0.631,0.013,-0.667,1.793
-5.396,0.229,0.229,-0.087,-0.632,1.837
-5.508,-0.072,-0.072,-0.176,-0.568,1.893
-5.595,-0.300,-0.300,-0.220,-0.521,1.935
-5.667,-0.609,-0.609,-0.277,-0.476,1.986
-5.760,-0.944,-0.944,-0.333,-0.449,2.023
-5.837,-1.244,-1.244,-0.401,-0.431,2.045
-5.870,-1.510,-1.510,-0.448,-0.421,2.053
-5.927,-1.850,-1.850,-0.510,-0.396,2.050
-5.916,-2.222,-2.222,-0.557,-0.374,2.044
-5.887,-2.487,-2.487,-0.581,-0.358,2.035
-5.891,-2.860,-2.860,-0.596,-0.347,2.014
-5.825,-3.286,-3.286,-0.584,-0.338,1.977
-5.661,-3.595,-3.595,-0.553,-0.332,1.950
-5.520,-4.012,-4.012,-0.495,-0.331,1.908
-5.339,-4.340,-4.340,-0.428,-0.346,1.861
-5.322,-4.511,-4.511,-0.387,-0.358,1.812
-4.999,-4.730,-4.730,-0.321,-0.407,1.727
-5.007,-5.053,-5.053,-0.287,-0.408,1.652
-5.095,-5.084,-5.084,-0.249,-0.434,1.543
-4.955,-5.160,-5.160,-0.208,-0.399,1.424

-4.817,-4.931,-4.931,-0.037,-0.350,1.282
-4.820,-4.607,-4.607,0.061,-0.327,1.220
-4.718,-4.459,-4.459,0.134,-0.301,1.179
-4.835,-4.215,-4.215,0.244,-0.301,1.121
-4.790,-3.877,-3.877,0.346,-0.260,1.062
-4.741,-3.556,-3.556,0.434,-0.167,1.027
-4.675,-3.377,-3.377,0.502,-0.112,1.012
-4.600,-3.037,-3.037,0.553,-0.073,0.994
-4.400,-2.821,-2.821,0.551,-0.029,0.988
-4.335,-2.765,-2.765,0.526,-0.015,0.984
-4.352,-2.742,-2.742,0.458,-0.001,0.968
-4.227,-2.725,-2.725,0.374,0.007,0.952
-4.209,-2.783,-2.783,0.314,0.014,0.947
-3.561,-2.723,-2.723,0.245,0.016,0.948
-4.658,-3.039,-3.039,0.299,-0.114,0.988
-4.181,-3.175,-3.175,0.339,-0.349,1.059
-2.117,-3.450,-3.450,-0.098,0.187,0.925
-4.087,-4.005,-4.005,-0.107,0.132,0.772
-3.367,-3.732,-3.732,0.016,-0.132,0.833
-2.333,-3.991,-3.991,-0.052,-0.100,0.850
-2.686,-4.549,-4.549,0.009,-0.201,0.935
-2.538,-4.543,-4.543,0.004,-0.190,0.875
-2.187,-4.565,-4.565,-0.036,-0.084,0.722
-2.411,-4.689,-4.689,0.065,-0.043,0.675
-2.203,-4.436,-4.436,0.176,-0.095,0.649
-1.887,-4.319,-4.319,0.172,0.012,0.567
-2.389,-4.167,-4.167,0.158,0.136,0.409
-2.055,-3.943,-3.943,0.160,0.153,0.334
-2.089,-3.704,-3.704,0.190,0.134,0.271
-1.934,-3.508,-3.508,0.222,0.079,0.268
-1.947,-3.316,-3.316,0.235,0.005,0.248
-1.758,-3.048,-3.048,0.208,-0.024,0.188
-1.638,-2.978,-2.978,0.149,-0.010,0.121
-1.413,-2.749,-2.749,0.172,-0.054,0.095
-1.446,-2.624,-2.624,0.190,-0.047,0.062
-1.178,-2.618,-2.618,0.185,-0.015,0.048
-1.257,-2.378,-2.378,0.171,0.017,-0.013
-1.167,-2.072,-2.072,0.163,0.027,-0.067
-1.031,-1.942,-1.942,0.161,0.033,-0.101
-0.926,-1.790,-1.790,0.149,0.064,-0.131
-1.095,-1.797,-1.797,0.132,0.089,-0.159
-0.796,-1.564,-1.564,0.123,0.105,-0.189
-0.926,-1.396,-1.396,0.107,0.142,-0.223
-0.884,-1.261,-1.261,0.112,0.103,-0.223
-0.697,-1.315,-1.315,0.036,0.146,-0.216
-0.763,-1.209,-1.209,-0.007,0.131,-0.235
-0.832,-1.185,-1.185,-0.003,0.109,-0.250
-0.496,-1.255,-1.255,-0.054,0.126,-0.238
-0.604,-1.174,-1.174,-0.076,0.129,-0.244
-0.563,-0.972,-0.972,-0.082,0.103,-0.278
-0.538,-1.182,-1.182,-0.114,0.117,-0.292
-0.443,-1.196,-1.196,-0.143,0.135,-0.297
-0.542,-1.121,-1.121,-0.150,0.163,-0.329
-0.414,-0.972,-0.972,-0.131,0.155,-0.352
-0.279,-1.051,-1.051,-0.139,0.202,-0.375
-0.264,-1.156,-1.156,-0.148,0.221,-0.388
-0.207,-1.213,-1.213,-0.158,0.228,-0.405
-0.146,-1.170,-1.170,-0.165,0.213,-0.437
-0.017,-1.226,-1.226,-0.176,0.206,-0.458
-0.017,-1.296,-1.296,-0.199,0.218,-0.485
0.054,-1.279,-1.279,-0.232,0.237,-0.532
0.091,-1.263,-1.263,-0.248,0.250,-0.581
0.117,-1.219,-1.219,-0.247,0.261,-0.607
0.124,-1.101,-1.101,-0.247,0.282,-0.640
0.107,-0.980,-0.980,-0.252,0.302,-0.677
0.124,-0.904,-0.904,-0.261,0.313,-0.702
0.201,-0.778,-0.778,-0.278,0.322,-0.735
0.263,-0.566,-0.566,-0.294,0.331,-0.760
0.206,-0.404,-0.404,-0.299,0.339,-0.775
0.197,-0.227,-0.227,-0.311,0.351,-0.790
0.222,-0.101,-0.101,-0.320,0.370,-0.796
0.278,-0.014,-0.014,-0.325,0.397,-0.807
0.301,0.043,0.043,-0.314,0.413,-0.808
0.346,0.098,0.098,-0.293,0.432,-0.812
0.344,0.199,0.199,-0.268,0.443,-0.812
0.394,0.256,0.256,-0.249,0.444,-0.814
0.362,0.326,0.326,-0.223,0.438,-0.813
0.341,0.512,0.512,-0.199,0.438,-0.811
0.353,0.502,0.502,-0.185,0.440,-0.811
0.393,0.567,0.567,-0.175,0.443,-0.812
0.512,0.542,0.542,-0.169,0.448,-0.821
0.628,0.521,0.521,-0.167,0.452,-0.831
0.686,0.459,0.459,-0.153,0.444,-0.847
0.752,0.525,0.525,-0.121,0.438,-0.858
0.737,0.613,0.613,-0.107,0.452,-0.864
0.750,0.671,0.671,-0.089,0.454,-0.876
0.792,0.761,0.761,-0.102,0.449,-0.888
0.893,0.769,0.769,-0.105,0.428,-0.895
0.974,0.806,0.806,-0.114,0.392,-0.895
1.053,0.822,0.822,-0.121,0.381,-0.890
1.013,0.797,0.797,-0.137,0.385,-0.892
1.016,0.818,0.818,-0.156,0.394,-0.900
0.907,0.933,0.933,-0.163,0.384,-0.913
0.973,0.929,0.929,-0.176,0.385,-0.906
0.935,0.896,0.896,-0.195,0.407,-0.904
0.996,0.901,0.901,-0.206,0.422,-0.904
1.065,0.879,0.879,-0.200,0.428,-0.909
1.105,0.753,0.753,-0.192,0.426,-0.899
1.214,0.658,0.658,-0.178,0.416,-0.892
1.251,0.678,0.678,-0.180,0.429,-0.899
1.263,0.650,0.650,-0.173,0.437,-0.899
1.191,0.736,0.736,-0.165,0.459,-0.913
1.167,0.810,0.810,-0.158,0.450,-0.924
1.177,0.832,0.832,-0.166,0.448,-0.930
1.210,0.886,0.886,-0.188,0.453,-0.934
1.204,0.966,0.966,-0.192,0.462,-0.934
1.157,0.942,0.942,-0.173,0.460,-0.928
1.190,0.999,0.999,-0.145,0.463,-0.932
1.288,0.857,0.857,-0.151,0.514,-0.918
1.154,0.750,0.750,-0.137,0.536,-0.932
1.197,0.796,0.796,-0.101,0.516,-0.927
1.319,0.766,0.766,-0.104,0.541,-0.926
1.320,0.657,0.657,-0.107,0.546,-0.929
1.289,0.663,0.663,-0.099,0.524,-0.939
1.446,0.631,0.631,-0.114,0.538,-0.948
1.366,0.576,0.576,-0.118,0.554,-0.963
1.470,0.583,0.583,-0.101,0.534,-0.964
1.464,0.642,0.642,-0.087,0.520,-1.014
1.552,0.723,0.723,-0.060,0.507,-1.017

2.680,0.023,0.023,0.166,-0.126,0.013
2.979,0.079,0.079,0.184,-0.152,0.013
3.290,0.181,0.181,0.210,-0.190,0.014
3.604,0.285,0.285,0.239,-0.214,0.016
3.757,0.345,0.345,0.256,-0.230,0.015
4.025,0.540,0.540,0.283,-0.253,0.019
4.216,0.778,0.778,0.302,-0.276,0.035
4.310,1.006,1.006,0.318,-0.295,0.060
4.435,1.305,1.305,0.335,-0.332,0.106
4.440,1.570,1.570,0.339,-0.381,0.163
4.506,1.679,1.679,0.335,-0.430,0.218
4.618,1.932,1.932,0.326,-0.515,0.281
4.760,1.865,1.865,0.289,-0.595,0.336
4.909,1.743,1.743,0.339,-0.772,0.376
4.994,2.178,2.178,0.266,-0.891,0.431
5.007,1.618,1.618,0.123,-0.980,0.536
5.273,1.332,1.332,0.060,-1.093,0.584
5.308,1.146,1.146,0.057,-1.205,0.626
5.465,0.865,0.865,0.039,-1.354,0.659
5.562,0.519,0.519,0.018,-1.444,0.673
5.357,0.279,0.279,-0.090,-1.456,0.652
5.794,0.119,0.119,0.059,-1.567,0.677
5.716,-0.067,-0.067,0.089,-1.623,0.657
5.705,-0.094,-0.094,0.114,-1.670,0.662
5.586,-0.359,-0.359,0.113,-1.709,0.631
5.634,-0.216,-0.216,0.138,-1.780,0.561
5.441,-0.188,-0.188,0.188,-1.838,0.566
5.210,-0.072,-0.072,0.190,-1.866,0.552
4.909,0.145,0.145,0.223,-1.918,0.548
4.623,0.419,0.419,0.248,-1.979,0.527
4.301,0.782,0.782,0.236,-2.048,0.504
4.041,1.109,1.109,0.204,-2.092,0.516
3.655,1.345,1.345,0.165,-2.095,0.529
3.183,1.670,1.670,0.106,-2.079,0.551
2.674,1.918,1.918,0.057,-2.045,0.578
2.381,2.086,2.086,0.039,-2.024,0.610
1.986,2.316,2.316,0.002,-1.988,0.658
1.623,2.491,2.491,-0.028,-1.982,0.712
1.332,2.638,2.638,-0.076,-1.948,0.760
0.822,2.782,2.782,-0.112,-1.924,0.827
0.341,2.886,2.886,-0.147,-1.909,0.906
-0.069,3.072,3.072,-0.187,-1.909,0.983
-0.472,3.110,3.110,-0.212,-1.901,1.048
-1.039,3.263,3.263,-0.232,-1.922,1.133
-1.441,3.484,3.484,-0.258,-1.958,1.231
-1.783,3.504,3.504,-0.282,-1.979,1.308
-2.277,3.429,3.429,-0.309,-2.039,1.410
-2.588,3.144,3.144,-0.352,-2.093,1.498
-2.738,2.777,2.777,-0.387,-2.123,1.538
-2.801,2.177,2.177,-0.419,-2.206,1.584
-2.951,1.518,1.518,-0.466,-2.309,1.609
-3.038,1.089,1.089,-0.500,-2.393,1.606
-3.202,0.457,0.457,-0.545,-2.495,1.591
-3.364,-0.012,-0.012,-0.580,-2.596,1.541
-3.512,-0.331,-0.331,-0.613,-2.657,1.491
-3.634,-0.610,-0.610,-0.607,-2.727,1.430
-3.989,-0.697,-0.697,-0.567,-2.727,1.365
-4.144,-0.692,-0.692,-0.515,-2.727,1.313
-4.361,-0.462,-0.462,-0.438,-2.727,1.245
-4.771,-0.139,-0.139,-0.392,-2.707,1.170
-4.929,0.136,0.136,-0.375,-2.671,1.115
-5.281,0.504,0.504,-0.352,-2.601,1.073
-5.692,0.917,0.917,-0.329,-2.488,1.047
-5.986,1.330,1.330,-0.297,-2.377,1.040
-6.190,1.641,1.641,-0.291,-2.260,1.057
-6.531,2.007,2.007,-0.278,-2.116,1.107
-6.832,2.296,2.296,-0.293,-1.963,1.177
-6.986,2.475,2.475,-0.324,-1.855,1.237
-7.128,2.674,2.674,-0.386,-1.701,1.326
-7.248,2.700,2.700,-0.448,-1.538,1.432
-7.254,2.553,2.553,-0.478,-1.425,1.519
-7.226,2.262,2.262,-0.491,-1.289,1.624
-7.222,1.949,1.949,-0.488,-1.173,1.718
-7.139,1.657,1.657,-0.482,-1.095,1.771
-7.033,1.117,1.117,-0.466,-1.006,1.824
-6.869,0.292,0.292,-0.437,-0.948,1.857
-6.535,-0.441,-0.441,-0.410,-0.922,1.854
-6.118,-1.295,-1.295,-0.358,-0.908,1.819
-5.888,-2.025,-2.025,-0.299,-0.915,1.762
-5.695,-2.543,-2.543,-0.241,-0.935,1.707
-5.468,-3.093,-3.093,-0.134,-0.980,1.618
-5.359,-3.444,-3.444,-0.022,-1.006,1.504
-5.331,-3.506,-3.506,0.073,-1.003,1.415
-5.366,-3.371,-3.371,0.202,-0.987,1.302
-5.596,-3.017,-3.017,0.316,-0.956,1.197
-5.789,-2.666,-2.666,0.382,-0.929,1.127
-5.974,-2.077,-2.077,0.431,-0.894,1.049
-6.098,-1.491,-1.491,0.427,-0.860,0.992
-6.253,-1.030,-1.030,0.390,-0.802,0.955
-6.292,-0.700,-0.700,0.343,-0.742,0.944
-6.448,-0.320,-0.320,0.272,-0.650,0.950
